Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2024-02-08;79,6849;81,8915;79,045;81,7927;;
2024-02-07;78,7441;79,4627;78,4904;79,431;;
2024-02-06;78,2012;79,0453;77,6697;78,6947;;
2024-02-05;77,6649;78,3048;76,6365;78,0718;;
2024-02-02;79,1659;79,3897;76,8934;77,1954;;
2024-02-01;80,6377;81,5245;78,616;78,726;;
2024-01-31;82,3317;82,4651;80,2975;80,4633;;
2024-01-30;82,1676;82,8158;80,8405;82,4843;;
2024-01-29;83,3212;83,4638;81,4687;82,033;;
2024-01-26;82,1284;83,7909;81,3101;83,7654;;
2024-01-25;80,4042;82,566;80,3054;82,3809;;
2024-01-24;79,8082;80,7142;79,0778;80,415;;
2024-01-23;80,1651;80,4214;78,7292;79,729;;
2024-01-22;78,2525;80,5351;77,8242;79,8044;;
2024-01-19;79,1746;79,7245;78,353;78,8644;;
2024-01-18;78,4652;79,2914;77,3838;79,0042;;
2024-01-17;77,6994;78,1349;76,5204;78,0436;;
2024-01-16;78,3895;79,3578;77,6258;77,78;;
2024-01-15;78,4033;78,6343;76,8548;78,114;;
2024-01-12;79,2777;80,7433;77,9961;78,405;;
2024-01-11;77,5455;79,0746;76,8144;77,8445;;
2024-01-10;78,1065;78,7134;76,3946;76,7152;;
2024-01-09;76,2072;78,1774;76,2072;77,5072;;
2024-01-08;77,9309;78,2187;75,287;76,3882;;
2024-01-05;78,0866;79,2257;77,6674;78,9088;;
2024-01-04;78,8809;79,384;76,5244;77,6239;;
2024-01-03;75,8514;78,6601;74,8159;78,5123;;
2024-01-02;78,4617;79,0551;75,6053;75,9132;;
2023-12-29;77,5427;77,9603;77,2452;77,6081;;
2023-12-28;79,7835;79,8156;77,0938;77,3401;;
2023-12-27;80,9934;81,0184;79,3144;79,3144;;
2023-12-22;80,2298;80,3692;78,897;79,1902;;
2023-12-21;79,7804;80,1296;77,9259;79,4432;;
2023-12-20;79,4983;80,585;79,1399;79,1541;;
2023-12-19;78,0508;79,6054;77,4695;79,5682;;
2023-12-18;77,3458;79,5036;75,778;78,1541;;
2023-12-15;76,9916;77,225;75,3358;76,8019;;
2023-12-14;74,7563;77,334;74,6822;76,7236;;
2023-12-13;72,7674;74,5999;72,3369;74,5925;;
2023-12-12;76,6169;76,6491;72,8907;73,3461;;
2023-12-11;76,5498;76,5498;75,025;76,1391;;
2023-12-08;75,7144;76,3497;75,1038;75,8293;;
2023-12-07;74,7063;75,4501;73,6144;74,4392;;
2023-12-06;77,5055;77,6284;74,1247;74,2645;;
2023-12-05;78,2099;79,0661;77,1041;77,2094;;
2023-12-04;78,304;79,5102;77,5448;78,2448;;
2023-12-01;80,6895;81,5079;78,7633;78,9929;;
2023-11-30;83,2907;84,5381;80,0433;80,139;;
2023-11-29;81,6137;82,9758;80,7316;82,6941;;
2023-11-28;79,9825;81,9552;79,7106;81,3589;;
2023-11-27;80,0785;81,041;79,0891;79,957;;
2023-11-24;81,5764;82,1804;80,9502;81,0853;;
2023-11-23;81,0699;81,5924;80,2028;81,5924;;
2023-11-22;82,4212;82,6192;78,4177;81,6798;;
2023-11-21;81,8066;82,5349;81,429;82,514;;
2023-11-20;81,2536;82,9269;80,7846;82,089;;
2023-11-17;77,3813;80,7952;77,3635;80,4982;;
2023-11-16;80,9516;81,1544;76,6148;77,4189;;
2023-11-15;82,81;82,81;80,7993;80,9986;;
2023-11-14;82,872;83,9721;82,0753;82,4645;;
2023-11-13;80,8681;82,7945;80,4188;82,7502;;
2023-11-10;80,384;82,054;80,2104;81,54;;
2023-11-09;80,0539;81,4086;79,7441;79,8422;;
